dataset,alg,params,original_bytes,compressed_bytes,ratio,bpb,entropy_bpb,%_over_entropy,comp_time_s,comp_MB_s,decomp_time_s,decomp_MB_s,repeats,comp_MiB_s,decomp_MiB_s,env_python,env_platform
data\binary\bitpack\p0.60\p0.60_random_10000000B.bin,lz4,"{""level"": 0}",10000000,10000631,1.0000631,8.0005048,7.767587425586726,2.9985806615582544,0.005526299999473849,1809.528979778891,0.003878600000462029,2578.2498836716272,5,1725.6998316278866,2458.8085849226964,3.10.2,Windows-10-10.0.19045-SP0
data\binary\bitpack\p0.80\p0.80_random_10000000B.bin,lz4,"{""level"": 0}",10000000,10000631,1.0000631,8.0005048,5.775405342017996,38.527156558062934,0.005994800001644762,1668.112363591171,0.0038224999989324715,2616.088947754807,5,1590.834552612375,2494.8946975227163,3.10.2,Windows-10-10.0.19045-SP0
data\binary\bitpack\p0.90\p0.90_random_10000000B.bin,lz4,"{""level"": 0}",10000000,8707343,0.8707343,6.9658744,3.7519466029790745,85.66027550789347,0.0230143999979191,434.51056733628394,0.006410000001778826,1560.06240206317,5,414.3812126094748,1487.7901678581422,3.10.2,Windows-10-10.0.19045-SP0
data\binary\bitpack\p0.95\p0.95_random_10000000B.bin,lz4,"{""level"": 0}",10000000,5996298,0.5996298,4.7970384,2.2911575074364627,109.3718299344389,0.027324800001224503,365.9679119170816,0.007646499998372747,1307.7878770846926,5,349.0138986631135,1247.2026392005134,3.10.2,Windows-10-10.0.19045-SP0
data\binary\bitpack\p0.99\p0.99_random_10000000B.bin,lz4,"{""level"": 0}",10000000,2607738,0.2607738,2.0861904,0.6463368612978303,222.77137896962512,0.011536500001966488,866.81402490317,0.008425699998042546,1186.845010185883,5,826.6575631250032,1131.862632283701,3.10.2,Windows-10-10.0.19045-SP0
data\binary\ascii01\p0.01\p0.01_random_10000000B.txt,lz4,"{""level"": 1}",10000000,543982,0.0543982,0.4351856,0.08079313589591118,438.641798185264,0.0030559000006178394,3272.3583880291267,0.0050795999995898455,1968.6589496825447,5,3120.7614701688804,1877.4578666405346,3.10.2,Windows-10-10.0.19045-SP0
data\binary\ascii01\p0.05\p0.05_random_10000000B.txt,lz4,"{""level"": 1}",10000000,1931957,0.1931957,1.5455656,0.28639695711595625,439.65852694944385,0.009186299997963943,1088.5775559492295,0.008343800000147894,1198.494690647277,5,1038.1475654758651,1142.97262379829,3.10.2,Windows-10-10.0.19045-SP0
data\binary\ascii01\p0.10\p0.10_random_10000000B.txt,lz4,"{""level"": 1}",10000000,2938622,0.2938622,2.3508976,0.4689955935892812,401.26219353326763,0.010641699998814147,939.6994842096982,0.009550300001137657,1047.0875259215704,5,896.166494045118,998.5796234129996,3.10.2,Windows-10-10.0.19045-SP0
data\binary\ascii01\p0.20\p0.20_random_10000000B.txt,lz4,"{""level"": 1}",10000000,4090979,0.4090979,3.2727832,0.7219280948873623,353.33922078633486,0.011907000000064727,839.8421096788142,0.010166899999603629,983.583983356762,5,800.9351623889619,938.0179778486082,3.10.2,Windows-10-10.0.19045-SP0
data\binary\ascii01\p0.30\p0.30_random_10000000B.txt,lz4,"{""level"": 1}",10000000,4667961,0.4667961,3.7343688,0.8812908992306927,323.73849579745473,0.01307729999825824,764.6838415675938,0.009739700002683094,1026.7256688856123,5,729.2587139461054,979.1610599905572,3.10.2,Windows-10-10.0.19045-SP0
data\binary\ascii01\p0.40\p0.40_random_10000000B.txt,lz4,"{""level"": 1}",10000000,4927361,0.4927361,3.9418888,0.9709505944546686,305.9824282010919,0.013623700000607641,734.0149885533285,0.009475499999098247,1055.3532796107506,5,700.010641616584,1006.4624536462236,3.10.2,Windows-10-10.0.19045-SP0
data\binary\ascii01\p0.50\p0.50_random_10000000B.txt,lz4,"{""level"": 1}",10000000,5000498,0.5000498,4.0003984,1.0,300.03983999999997,0.013526100003218744,739.3114051811199,0.009040500000992324,1106.133510193281,5,705.0616937881427,1054.89021376809,3.10.2,Windows-10-10.0.19045-SP0
data\binary\ascii01\p0.60\p0.60_random_10000000B.txt,lz4,"{""level"": 1}",10000000,4928616,0.4928616,3.9428928,0.9709505944546686,306.0858320205791,0.013387400002102368,746.9710323460562,0.009176899999147281,1089.692597819438,5,712.3664772188442,1039.2109513564892,3.10.2,Windows-10-10.0.19045-SP0
data\binary\ascii01\p0.80\p0.80_random_10000000B.txt,lz4,"{""level"": 1}",10000000,4091601,0.4091601,3.2732808,0.7219280948873623,353.40814731842636,0.012281899998924928,814.2062710879693,0.01044009999895934,957.8452314629928,5,776.4869425294124,913.4716122994822,3.10.2,Windows-10-10.0.19045-SP0
data\binary\ascii01\p0.90\p0.90_random_10000000B.txt,lz4,"{""level"": 1}",10000000,2935991,0.2935991,2.3487928,0.4689955935892812,400.8134046685596,0.01085130000137724,921.548570100431,0.01024630000028992,975.9620545677024,5,878.8564482971456,930.7491463598926,3.10.2,Windows-10-10.0.19045-SP0
data\binary\ascii01\p0.95\p0.95_random_10000000B.txt,lz4,"{""level"": 1}",10000000,1931205,0.1931205,1.544964,0.28639695711595625,439.4484688517398,0.008761100001720479,1141.4091835541462,0.007883600002969615,1268.4560348360108,5,1088.5316885715738,1209.6929036258675,3.10.2,Windows-10-10.0.19045-SP0
data\binary\ascii01\p0.99\p0.99_random_10000000B.txt,lz4,"{""level"": 1}",10000000,543506,0.0543506,0.4348048,0.08079313589591118,438.1704710164677,0.0026539999998931307,3767.897513339364,0.004828799999813782,2070.9078860970926,5,3593.3440011308326,1974.969967483637,3.10.2,Windows-10-10.0.19045-SP0
data\binary\bitpack\p0.01\p0.01_random_10000000B.bin,lz4,"{""level"": 1}",10000000,2608554,0.2608554,2.0868432,0.6463345554604936,222.87353080065296,0.01164250000147149,858.9220527151475,0.008547199999156874,1169.9737927024564,5,819.1311984034244,1115.7729992930958,3.10.2,Windows-10-10.0.19045-SP0
data\binary\bitpack\p0.05\p0.05_random_10000000B.bin,lz4,"{""level"": 1}",10000000,5995372,0.5995372,4.7962976,2.291160100889569,109.33925997304961,0.02749490000132937,363.70381414431415,0.007836299999326002,1276.1124511389428,5,346.8546886206574,1216.9946249425702,3.10.2,Windows-10-10.0.19045-SP0
data\binary\bitpack\p0.10\p0.10_random_10000000B.bin,lz4,"{""level"": 1}",10000000,8706826,0.8706826,6.9654608,3.7519456376681077,85.64929966120567,0.022633000000496395,441.8327221217106,0.006352100001095096,1574.2825204697674,5,421.3641575755776,1501.3515179189696,3.10.2,Windows-10-10.0.19045-SP0
data\binary\bitpack\p0.20\p0.20_random_10000000B.bin,lz4,"{""level"": 1}",10000000,10000631,1.0000631,8.0005048,5.775409955115091,38.52704590977504,0.006174699999974109,1619.511879126424,0.00388329999987036,2575.129400338331,5,1544.4855585951057,2455.8326626672124,3.10.2,Windows-10-10.0.19045-SP0
data\binary\bitpack\p0.30\p0.30_random_10000000B.bin,lz4,"{""level"": 1}",10000000,10000631,1.0000631,8.0005048,7.050309204593689,13.47736060692491,0.005378199999540811,1859.358149725521,0.00370640000255662,2698.0358280547557,5,1773.2205904264351,2573.045265497224,3.10.2,Windows-10-10.0.19045-SP0
data\binary\bitpack\p0.40\p0.40_random_10000000B.bin,lz4,"{""level"": 1}",10000000,10000631,1.0000631,8.0005048,7.767587988589667,2.998573196112876,0.005979699999443255,1672.3246987191762,0.004351499999756925,2298.058140999334,5,1594.8517449880658,2191.597145616439,3.10.2,Windows-10-10.0.19045-SP0
data\binary\bitpack\p0.50\p0.50_random_10000000B.bin,lz4,"{""level"": 1}",10000000,10000631,1.0000631,8.0005048,7.999980814915114,0.006549829268453015,0.005860199999005999,1706.4264021187312,0.004116700001759455,2429.130127462787,5,1627.3736357521623,2316.5970254187246,3.10.2,Windows-10-10.0.19045-SP0
data\binary\bitpack\p0.60\p0.60_random_10000000B.bin,lz4,"{""level"": 1}",10000000,10000631,1.0000631,8.0005048,7.767587425586726,2.9985806615582544,0.005524599997443147,1810.0857989045585,0.00395349999962491,2529.4043255213746,5,1726.2308552711381,2412.225870626537,3.10.2,Windows-10-10.0.19045-SP0
data\binary\bitpack\p0.80\p0.80_random_10000000B.bin,lz4,"{""level"": 1}",10000000,10000631,1.0000631,8.0005048,5.775405342017996,38.527156558062934,0.006184899997606408,1616.8410166486212,0.003923799999029143,2548.5498757516384,5,1541.938427833592,2430.48447448312,3.10.2,Windows-10-10.0.19045-SP0
data\binary\bitpack\p0.90\p0.90_random_10000000B.bin,lz4,"{""level"": 1}",10000000,8707343,0.8707343,6.9658744,3.7519466029790745,85.66027550789347,0.02214569999705418,451.5549294594526,0.0060121000024082605,1663.312319488084,5,430.6359690542989,1586.2568777626939,3.10.2,Windows-10-10.0.19045-SP0
data\binary\bitpack\p0.95\p0.95_random_10000000B.bin,lz4,"{""level"": 1}",10000000,5996298,0.5996298,4.7970384,2.2911575074364627,109.3718299344389,0.027067300001363037,369.4494833062931,0.007569299999886425,1321.1261279312548,5,352.3341810279181,1259.9229755407114,3.10.2,Windows-10-10.0.19045-SP0
data\binary\bitpack\p0.99\p0.99_random_10000000B.bin,lz4,"{""level"": 1}",10000000,2607738,0.2607738,2.0861904,0.6463368612978303,222.77137896962512,0.011258299997280119,888.2335701141282,0.00833509999938542,1199.7456540098306,5,847.0848157289449,1144.1656344039534,3.10.2,Windows-10-10.0.19045-SP0
data\binary\ascii01\p0.01\p0.01_random_10000000B.txt,lz4,"{""level"": 2}",10000000,543982,0.0543982,0.4351856,0.08079313589591118,438.641798185264,0.0026180999993812293,3819.563806716105,0.0045226000002003275,2211.1174986859446,5,3642.6167758569786,2108.684159155084,3.10.2,Windows-10-10.0.19045-SP0
data\binary\ascii01\p0.05\p0.05_random_10000000B.txt,lz4,"{""level"": 2}",10000000,1931957,0.1931957,1.5455656,0.28639695711595625,439.65852694944385,0.00884559999758494,1130.5055623960204,0.008658099999593105,1154.9878149328326,5,1078.133194042345,1101.4812694546608,3.10.2,Windows-10-10.0.19045-SP0
data\binary\ascii01\p0.10\p0.10_random_10000000B.txt,lz4,"{""level"": 2}",10000000,2938622,0.2938622,2.3508976,0.4689955935892812,401.26219353326763,0.010639600001013605,939.8849579915907,0.009425300002476433,1060.9741862192789,5,896.343375475457,1011.8229633127327,3.10.2,Windows-10-10.0.19045-SP0
data\binary\ascii01\p0.20\p0.20_random_10000000B.txt,lz4,"{""level"": 2}",10000000,4090979,0.4090979,3.2727832,0.7219280948873623,353.33922078633486,0.012335299998085247,810.6815400964917,0.010375199999543838,963.8368417418137,5,773.1254999957484,919.1856522319097,3.10.2,Windows-10-10.0.19045-SP0
data\binary\ascii01\p0.30\p0.30_random_10000000B.txt,lz4,"{""level"": 2}",10000000,4667961,0.4667961,3.7343688,0.8812908992306927,323.73849579745473,0.013172599999961676,759.1515722051147,0.01022739999825717,977.7656101945831,5,723.9827352720766,932.4691495631682,3.10.2,Windows-10-10.0.19045-SP0
data\binary\ascii01\p0.40\p0.40_random_10000000B.txt,lz4,"{""level"": 2}",10000000,4927361,0.4927361,3.9418888,0.9709505944546686,305.9824282010919,0.013966900001832983,715.9784919121369,0.009852500003034947,1014.9708192762869,5,682.8097127756075,967.9507714467934,3.10.2,Windows-10-10.0.19045-SP0
data\binary\ascii01\p0.50\p0.50_random_10000000B.txt,lz4,"{""level"": 2}",10000000,5000498,0.5000498,4.0003984,1.0,300.03983999999997,0.013421799998468487,745.0565498771449,0.009090700001252117,1100.0253004304002,5,710.5406860261227,1049.0649759978505,3.10.2,Windows-10-10.0.19045-SP0
data\binary\ascii01\p0.60\p0.60_random_10000000B.txt,lz4,"{""level"": 2}",10000000,4928616,0.4928616,3.9428928,0.9709505944546686,306.0858320205791,0.012847500001953449,778.3615488211333,0.008772100001806393,1139.9778841942923,5,742.302780865317,1087.1666963045748,3.10.2,Windows-10-10.0.19045-SP0
data\binary\ascii01\p0.80\p0.80_random_10000000B.txt,lz4,"{""level"": 2}",10000000,4091601,0.4091601,3.2732808,0.7219280948873623,353.40814731842636,0.01152409999849624,867.7467221999881,0.009627499999623979,1038.691249066795,5,827.5470518185059,990.5723166958907,3.10.2,Windows-10-10.0.19045-SP0
data\binary\ascii01\p0.90\p0.90_random_10000000B.txt,lz4,"{""level"": 2}",10000000,2935991,0.2935991,2.3487928,0.4689955935892812,400.8134046685596,0.010384799999883398,962.9458439365496,0.009117600002355175,1096.7798540643253,5,918.3359312383764,1045.9698798097932,3.10.2,Windows-10-10.0.19045-SP0
data\binary\ascii01\p0.95\p0.95_random_10000000B.txt,lz4,"{""level"": 2}",10000000,1931205,0.1931205,1.544964,0.28639695711595625,439.4484688517398,0.008382100000744686,1193.0184558895237,0.007565500000055181,1321.7897032485707,5,1137.7500838417516,1260.555809734671,3.10.2,Windows-10-10.0.19045-SP0
data\binary\ascii01\p0.99\p0.99_random_10000000B.txt,lz4,"{""level"": 2}",10000000,543506,0.0543506,0.4348048,0.08079313589591118,438.1704710164677,0.002535399999032961,3944.1508258318795,0.00418089999948279,2391.829510688387,5,3761.4321141652845,2281.0244157470834,3.10.2,Windows-10-10.0.19045-SP0
data\binary\bitpack\p0.01\p0.01_random_10000000B.bin,lz4,"{""level"": 2}",10000000,2608554,0.2608554,2.0868432,0.6463345554604936,222.87353080065296,0.010883200000534998,918.8473977790005,0.00794540000060806,1258.5898758067185,5,876.2804118410396,1200.2838092339425,3.10.2,Windows-10-10.0.19045-SP0
data\binary\bitpack\p0.05\p0.05_random_10000000B.bin,lz4,"{""level"": 2}",10000000,5995372,0.5995372,4.7962976,2.291160100889569,109.33925997304961,0.02615220000006957,382.3770084342196,0.007167699997808086,1395.1476768081873,5,364.66281913536307,1330.515364975318,3.10.2,Windows-10-10.0.19045-SP0
data\binary\bitpack\p0.10\p0.10_random_10000000B.bin,lz4,"{""level"": 2}",10000000,8706826,0.8706826,6.9654608,3.7519456376681077,85.64929966120567,0.021520099999179365,464.6818555853056,0.00567360000059125,1762.5493511981622,5,443.1547706089135,1680.8966049110584,3.10.2,Windows-10-10.0.19045-SP0
data\binary\bitpack\p0.20\p0.20_random_10000000B.bin,lz4,"{""level"": 2}",10000000,10000631,1.0000631,8.0005048,5.775409955115091,38.52704590977504,0.00564930000109598,1770.1308123236456,0.003543899998476263,2821.750050593867,5,1688.126843461501,2691.0282408413414,3.10.2,Windows-10-10.0.19045-SP0
data\binary\bitpack\p0.30\p0.30_random_10000000B.bin,lz4,"{""level"": 2}",10000000,10000631,1.0000631,8.0005048,7.050309204593689,13.47736060692491,0.005184599998756312,1928.7891066618085,0.0035547000006772578,2813.1769201605634,5,1839.4350539877512,2682.852273553388,3.10.2,Windows-10-10.0.19045-SP0
data\binary\bitpack\p0.40\p0.40_random_10000000B.bin,lz4,"{""level"": 2}",10000000,10000631,1.0000631,8.0005048,7.767587988589667,2.998573196112876,0.005190000003494788,1926.7822723056463,0.0036281000029703137,2756.2636067950257,5,1837.521189247681,2628.575554921176,3.10.2,Windows-10-10.0.19045-SP0
data\binary\bitpack\p0.50\p0.50_random_10000000B.bin,lz4,"{""level"": 2}",10000000,10000631,1.0000631,8.0005048,7.999980814915114,0.006549829268453015,0.005178699997486547,1930.9865419610028,0.0035132999983034097,2846.326816619432,5,1841.5306897958585,2714.4664512630716,3.10.2,Windows-10-10.0.19045-SP0
data\binary\bitpack\p0.60\p0.60_random_10000000B.bin,lz4,"{""level"": 2}",10000000,10000631,1.0000631,8.0005048,7.767587425586726,2.9985806615582544,0.005224900000030175,1913.9122279741714,0.0036102999983995687,2769.8529220377695,5,1825.2473690524478,2641.535324722269,3.10.2,Windows-10-10.0.19045-SP0
data\binary\bitpack\p0.80\p0.80_random_10000000B.bin,lz4,"{""level"": 2}",10000000,10000631,1.0000631,8.0005048,5.775405342017996,38.527156558062934,0.005662899999151705,1765.879673223611,0.0036242999995010905,2759.15349208856,5,1684.0726447660743,2631.33156193748,3.10.2,Windows-10-10.0.19045-SP0
data\binary\bitpack\p0.90\p0.90_random_10000000B.bin,lz4,"{""level"": 2}",10000000,8707343,0.8707343,6.9658744,3.7519466029790745,85.66027550789347,0.022318499999528285,448.058785322103,0.00608989999818732,1642.063088552609,5,427.30178904580396,1565.992049369588,3.10.2,Windows-10-10.0.19045-SP0
data\binary\bitpack\p0.95\p0.95_random_10000000B.bin,lz4,"{""level"": 2}",10000000,5996298,0.5996298,4.7970384,2.2911575074364627,109.3718299344389,0.02786289999858127,358.90018628747123,0.007855500000005122,1272.993444082933,5,342.27359603999605,1214.0201105736098,3.10.2,Windows-10-10.0.19045-SP0
data\binary\bitpack\p0.99\p0.99_random_10000000B.bin,lz4,"{""level"": 2}",10000000,2607738,0.2607738,2.0861904,0.6463368612978303,222.77137896962512,0.011351400000421563,880.9486054256413,0.00835440000082599,1196.974049484261,5,840.1373379726765,1141.5224286213643,3.10.2,Windows-10-10.0.19045-SP0
data\binary\ascii01\p0.01\p0.01_random_10000000B.txt,lz4,"{""level"": 3}",10000000,336254,0.0336254,0.2690032,0.08079313589591118,232.95303742952478,0.0414295000009588,241.37390023458096,0.004634600001736544,2157.683510174144,5,230.19189172923893,2057.7255804263323,3.10.2,Windows-10-10.0.19045-SP0
data\binary\ascii01\p0.05\p0.05_random_10000000B.txt,lz4,"{""level"": 3}",10000000,1335898,0.1335898,1.0687184,0.28639695711595625,273.15983059390464,0.07345840000198223,136.1314703251113,0.005736399998568231,1743.2536089700745,5,129.824975474008,1662.49476692656,3.10.2,Windows-10-10.0.19045-SP0
data\binary\ascii01\p0.10\p0.10_random_10000000B.txt,lz4,"{""level"": 3}",10000000,2152639,0.2152639,1.7221112,0.4689955935892812,267.19133901034553,0.09402650000265567,106.35299622678247,0.006566000000020722,1522.997258600128,5,101.42603391967006,1452.4421228429962,3.10.2,Windows-10-10.0.19045-SP0
data\binary\ascii01\p0.20\p0.20_random_10000000B.txt,lz4,"{""level"": 3}",10000000,3141652,0.3141652,2.5133216,0.7219280948873623,248.14015658888255,0.1216366000007838,82.21209734517046,0.007243300002301112,1380.5861964606072,5,78.40349844171703,1316.6284670781968,3.10.2,Windows-10-10.0.19045-SP0
data\binary\ascii01\p0.30\p0.30_random_10000000B.txt,lz4,"{""level"": 3}",10000000,3775886,0.3775886,3.0207088,0.8812908992306927,242.75955903287715,0.13844719999906374,72.22970200962985,0.007718899996689288,1295.5213831360813,5,68.88355256503348,1235.5044090100416,3.10.2,Windows-10-10.0.19045-SP0
data\binary\ascii01\p0.40\p0.40_random_10000000B.txt,lz4,"{""level"": 3}",10000000,4140708,0.4140708,3.3125664,0.9709505944546686,241.16734867035055,0.14276800000152434,70.04370727259071,0.007854600000428036,1273.1393068335817,5,66.79882731785405,1214.1592160132288,3.10.2,Windows-10-10.0.19045-SP0
data\binary\ascii01\p0.50\p0.50_random_10000000B.txt,lz4,"{""level"": 3}",10000000,4262027,0.4262027,3.4096216,1.0,240.96215999999998,0.14271189999999478,70.07124143116562,0.007851899998058798,1273.5770963043685,5,66.82508591517288,1214.576724229161,3.10.2,Windows-10-10.0.19045-SP0
data\binary\ascii01\p0.60\p0.60_random_10000000B.txt,lz4,"{""level"": 3}",10000000,4141575,0.4141575,3.31326,0.9709505944546686,241.23878381895247,0.14250370000081602,70.17361654429139,0.007829899997886969,1277.1555195722385,5,66.92271834740151,1217.9893716638605,3.10.2,Windows-10-10.0.19045-SP0
data\binary\ascii01\p0.80\p0.80_random_10000000B.txt,lz4,"{""level"": 3}",10000000,3141327,0.3141327,2.5130616,0.7219280948873623,248.10414192179294,0.1210733000007167,82.59459352260824,0.007205500001873588,1387.8287415723794,5,78.76827490917286,1323.5354904083617,3.10.2,Windows-10-10.0.19045-SP0
