alg,quality,p,dataset,kind,order,bpbit,H_p,gap_abs,gap_pct
lz4,3,0.990000,data\binary\ascii01\p0.99\p0.99_random_10000000B.txt,ascii01,random,0.268993,0.080793,0.188200,232.94
lz4,4,0.010000,data\binary\ascii01\p0.01\p0.01_random_10000000B.txt,ascii01,random,0.249594,0.080793,0.168801,208.93
lz4,4,0.050000,data\binary\ascii01\p0.05\p0.05_random_10000000B.txt,ascii01,random,0.980214,0.286397,0.693817,242.26
lz4,4,0.100000,data\binary\ascii01\p0.10\p0.10_random_10000000B.txt,ascii01,random,1.579971,0.468996,1.110976,236.88
lz4,4,0.200000,data\binary\ascii01\p0.20\p0.20_random_10000000B.txt,ascii01,random,2.271955,0.721928,1.550027,214.71
lz4,4,0.300000,data\binary\ascii01\p0.30\p0.30_random_10000000B.txt,ascii01,random,2.719289,0.881291,1.837998,208.56
lz4,4,0.400000,data\binary\ascii01\p0.40\p0.40_random_10000000B.txt,ascii01,random,2.990620,0.970951,2.019669,208.01
lz4,4,0.500000,data\binary\ascii01\p0.50\p0.50_random_10000000B.txt,ascii01,random,3.085899,1.000000,2.085899,208.59
lz4,4,0.600000,data\binary\ascii01\p0.60\p0.60_random_10000000B.txt,ascii01,random,2.990175,0.970951,2.019225,207.96
lz4,4,0.800000,data\binary\ascii01\p0.80\p0.80_random_10000000B.txt,ascii01,random,2.271063,0.721928,1.549135,214.58
lz4,4,0.900000,data\binary\ascii01\p0.90\p0.90_random_10000000B.txt,ascii01,random,1.579442,0.468996,1.110446,236.77
lz4,4,0.950000,data\binary\ascii01\p0.95\p0.95_random_10000000B.txt,ascii01,random,0.978920,0.286397,0.692523,241.81
lz4,4,0.990000,data\binary\ascii01\p0.99\p0.99_random_10000000B.txt,ascii01,random,0.249242,0.080793,0.168448,208.49
lz4,5,0.010000,data\binary\ascii01\p0.01\p0.01_random_10000000B.txt,ascii01,random,0.236329,0.080793,0.155536,192.51
lz4,5,0.050000,data\binary\ascii01\p0.05\p0.05_random_10000000B.txt,ascii01,random,0.907273,0.286397,0.620876,216.79
lz4,5,0.100000,data\binary\ascii01\p0.10\p0.10_random_10000000B.txt,ascii01,random,1.463622,0.468996,0.994626,212.08
lz4,5,0.200000,data\binary\ascii01\p0.20\p0.20_random_10000000B.txt,ascii01,random,2.083815,0.721928,1.361887,188.65
lz4,5,0.300000,data\binary\ascii01\p0.30\p0.30_random_10000000B.txt,ascii01,random,2.473859,0.881291,1.592568,180.71
lz4,5,0.400000,data\binary\ascii01\p0.40\p0.40_random_10000000B.txt,ascii01,random,2.719222,0.970951,1.748271,180.06
lz4,5,0.500000,data\binary\ascii01\p0.50\p0.50_random_10000000B.txt,ascii01,random,2.809294,1.000000,1.809294,180.93
lz4,5,0.600000,data\binary\ascii01\p0.60\p0.60_random_10000000B.txt,ascii01,random,2.719919,0.970951,1.748969,180.13
lz4,5,0.800000,data\binary\ascii01\p0.80\p0.80_random_10000000B.txt,ascii01,random,2.083910,0.721928,1.361982,188.66
lz4,5,0.900000,data\binary\ascii01\p0.90\p0.90_random_10000000B.txt,ascii01,random,1.463359,0.468996,0.994364,212.02
lz4,5,0.950000,data\binary\ascii01\p0.95\p0.95_random_10000000B.txt,ascii01,random,0.906498,0.286397,0.620101,216.52
lz4,5,0.990000,data\binary\ascii01\p0.99\p0.99_random_10000000B.txt,ascii01,random,0.235698,0.080793,0.154905,191.73
lz4,6,0.010000,data\binary\ascii01\p0.01\p0.01_random_10000000B.txt,ascii01,random,0.225313,0.080793,0.144520,178.88
lz4,6,0.050000,data\binary\ascii01\p0.05\p0.05_random_10000000B.txt,ascii01,random,0.848467,0.286397,0.562070,196.26
lz4,6,0.100000,data\binary\ascii01\p0.10\p0.10_random_10000000B.txt,ascii01,random,1.363354,0.468996,0.894359,190.70
lz4,6,0.200000,data\binary\ascii01\p0.20\p0.20_random_10000000B.txt,ascii01,random,1.937589,0.721928,1.215661,168.39
lz4,6,0.300000,data\binary\ascii01\p0.30\p0.30_random_10000000B.txt,ascii01,random,2.274442,0.881291,1.393152,158.08
lz4,6,0.400000,data\binary\ascii01\p0.40\p0.40_random_10000000B.txt,ascii01,random,2.493782,0.970951,1.522831,156.84
lz4,6,0.500000,data\binary\ascii01\p0.50\p0.50_random_10000000B.txt,ascii01,random,2.575358,1.000000,1.575358,157.54
lz4,6,0.600000,data\binary\ascii01\p0.60\p0.60_random_10000000B.txt,ascii01,random,2.493774,0.970951,1.522824,156.84
lz4,6,0.800000,data\binary\ascii01\p0.80\p0.80_random_10000000B.txt,ascii01,random,1.938075,0.721928,1.216147,168.46
lz4,6,0.900000,data\binary\ascii01\p0.90\p0.90_random_10000000B.txt,ascii01,random,1.363315,0.468996,0.894320,190.69
lz4,6,0.950000,data\binary\ascii01\p0.95\p0.95_random_10000000B.txt,ascii01,random,0.848184,0.286397,0.561787,196.16
lz4,6,0.990000,data\binary\ascii01\p0.99\p0.99_random_10000000B.txt,ascii01,random,0.224650,0.080793,0.143857,178.06
lz4,7,0.010000,data\binary\ascii01\p0.01\p0.01_random_10000000B.txt,ascii01,random,0.215703,0.080793,0.134910,166.98
lz4,7,0.050000,data\binary\ascii01\p0.05\p0.05_random_10000000B.txt,ascii01,random,0.797542,0.286397,0.511145,178.47
lz4,7,0.100000,data\binary\ascii01\p0.10\p0.10_random_10000000B.txt,ascii01,random,1.273175,0.468996,0.804180,171.47
lz4,7,0.200000,data\binary\ascii01\p0.20\p0.20_random_10000000B.txt,ascii01,random,1.819804,0.721928,1.097876,152.08
lz4,7,0.300000,data\binary\ascii01\p0.30\p0.30_random_10000000B.txt,ascii01,random,2.113883,0.881291,1.232592,139.86
lz4,7,0.400000,data\binary\ascii01\p0.40\p0.40_random_10000000B.txt,ascii01,random,2.304363,0.970951,1.333413,137.33
lz4,7,0.500000,data\binary\ascii01\p0.50\p0.50_random_10000000B.txt,ascii01,random,2.378140,1.000000,1.378140,137.81
lz4,7,0.600000,data\binary\ascii01\p0.60\p0.60_random_10000000B.txt,ascii01,random,2.304598,0.970951,1.333647,137.35
lz4,7,0.800000,data\binary\ascii01\p0.80\p0.80_random_10000000B.txt,ascii01,random,1.818813,0.721928,1.096885,151.94
lz4,7,0.900000,data\binary\ascii01\p0.90\p0.90_random_10000000B.txt,ascii01,random,1.274289,0.468996,0.805293,171.71
lz4,7,0.950000,data\binary\ascii01\p0.95\p0.95_random_10000000B.txt,ascii01,random,0.797694,0.286397,0.511297,178.53
lz4,7,0.990000,data\binary\ascii01\p0.99\p0.99_random_10000000B.txt,ascii01,random,0.215430,0.080793,0.134637,166.64
lz4,8,0.010000,data\binary\ascii01\p0.01\p0.01_random_10000000B.txt,ascii01,random,0.208157,0.080793,0.127364,157.64
lz4,8,0.050000,data\binary\ascii01\p0.05\p0.05_random_10000000B.txt,ascii01,random,0.748750,0.286397,0.462353,161.44
lz4,8,0.100000,data\binary\ascii01\p0.10\p0.10_random_10000000B.txt,ascii01,random,1.197470,0.468996,0.728475,155.33
lz4,8,0.200000,data\binary\ascii01\p0.20\p0.20_random_10000000B.txt,ascii01,random,1.718797,0.721928,0.996869,138.08
lz4,8,0.300000,data\binary\ascii01\p0.30\p0.30_random_10000000B.txt,ascii01,random,1.983770,0.881291,1.102479,125.10
lz4,8,0.400000,data\binary\ascii01\p0.40\p0.40_random_10000000B.txt,ascii01,random,2.146077,0.970951,1.175126,121.03
lz4,8,0.500000,data\binary\ascii01\p0.50\p0.50_random_10000000B.txt,ascii01,random,2.211992,1.000000,1.211992,121.20
lz4,8,0.600000,data\binary\ascii01\p0.60\p0.60_random_10000000B.txt,ascii01,random,2.145624,0.970951,1.174673,120.98
lz4,8,0.800000,data\binary\ascii01\p0.80\p0.80_random_10000000B.txt,ascii01,random,1.718613,0.721928,0.996685,138.06
lz4,8,0.900000,data\binary\ascii01\p0.90\p0.90_random_10000000B.txt,ascii01,random,1.197298,0.468996,0.728303,155.29
lz4,8,0.950000,data\binary\ascii01\p0.95\p0.95_random_10000000B.txt,ascii01,random,0.748878,0.286397,0.462481,161.48
